Forecast_Hour,Total_Images,Strict_Accuracy,Relaxed_Accuracy,Average_Recall_Macro
2,21489,0.768439666806273,0.9356880264321281,0.7517879937084685
3,21489,0.766531713900135,0.9363860579831542,0.7437394025915891
4,21489,0.7679277770021872,0.9327097584810834,0.7414193713203263
5,21489,0.7675554935083065,0.9380147982688818,0.7330434405804658
6,21489,0.767183210014426,0.9354088138117176,0.7303131469758352
9,21489,0.7627623435245939,0.9387593652566429,0.7251828066048281
12,21485,0.7539678845706307,0.9356760530602746,0.7237576790340338
15,21489,0.7563404532551538,0.9332681837219042,0.7290684786518973
18,21489,0.7560612406347433,0.9355018846851878,0.7292706142507351
24,3265,0.7672281776416539,0.955895865237366,0.7462006280831227
30,3265,0.7672281776416539,0.9485451761102603,0.74078425022899
36,3265,0.7433384379785605,0.9396630934150076,0.7241647139373665
42,3265,0.7411944869831547,0.9421133231240428,0.7041328579410356
48,3265,0.7222052067381317,0.9359877488514549,0.7010945633235159
